"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
79,"Muricilândia",88305,15,1260,489,171,41,521,32549,1804,NA,1713957,1194.368,3367,2.82,96.1,0.596,"-",27730810.71,24702917.79,19173.33,"TO"
80,"Natividade",109404,NA,1901,1313,475,15,468,10970,6800,NA,1714203,3241.672,8754,2.7,97.8,0.673,"18.18",46616204.95,45721014.33,26722.15,"TO"
81,"Nazaré",30513,NA,702,481,22,NA,316,360453,9845,NA,1714302,395.997,4521,11.42,98.6,0.643,"32.79",29138932.72,26228578.71,15413.41,"TO"
82,"Nova Olinda",100414,38,1355,2530,1040,238,1056,21927,5753,NA,1714880,1567.834,10367,6.61,95.3,0.631,"24.24",62764425.66,58538737.29,26661.49,"TO"
83,"Nova Rosalândia",21728,8,579,1056,105,16,201,52000,2890,NA,1715002,514.791,3362,6.53,98.2,0.661,"-",27408255.76,23835843.95,23209.5,"TO"
84,"Novo Acordo",17957,NA,525,777,233,105,336,6989,3843,NA,1715101,2678.262,3969,1.48,96.4,0.639,"12.05",33252569.38,29375653.8,19038.97,"TO"
85,"Novo Alegre",28082,NA,304,280,150,2,330,4233,1590,NA,1715150,200.412,1846,9.21,99,0.699,"90.91",24502815.16,22152589.39,15232.02,"TO"
86,"Novo Jardim",17187,NA,103,195,110,NA,690,3430,2300,NA,1715259,1213.893,2230,1.84,97.8,0.596,"-",21519600.76,20911927.16,15416.09,"TO"
87,"Oliveira de Fátima",14871,6,124,196,90,NA,147,1119,950,NA,1715507,209.292,1164,5.56,98,0.675,"-",18339707.31,17819596.34,26217.62,"TO"
88,"Palmas",40106,14,1219,2412,1021,235,1006,17987,5918,NA,1721000,2227.329,302692,135.9,98,0.788,"10.71",2233618279.26,2075783972,32977.35,"TO"
89,"Palmeirante",81818,117,1708,1673,514,10,1479,21211,8272,NA,1715705,2638.465,4798,1.82,93.6,0.571,"48.39",48291096.07,45856503.95,29731.96,"TO"
90,"Palmeiras do Tocantins",42882,NA,1718,1028,73,85,360,1023283,9382,NA,1713809,743.407,4872,6.55,97.1,0.628,"-",47831400.46,38076008.37,13961.56,"TO"
91,"Palmeirópolis",87918,71,1372,2173,692,37,437,10800,5400,NA,1715754,1708.981,6975,4.08,98,0.673,"-",52045302.89,47000032.32,22110.47,"TO"
92,"Paraíso do Tocantins",122294,31,2042,2523,216,101,958,63597,5700,NA,1716109,1292.267,52360,40.52,98.4,0.764,"6.58",261430075.27,223430867.2,28820.73,"TO"
93,"Paranã",253044,NA,5562,3263,1188,197,597,25889,12945,NA,1716208,11217.373,10542,0.94,95.4,0.595,"28.37",54342720.66,52727744.46,30250.98,"TO"
94,"Pau D'Arco",93397,17,1480,1145,344,NA,358,7378,2951,NA,1716307,1375.551,4043,2.94,98,0.661,"20",26951299.42,25611984.67,18663.11,"TO"
95,"Pedro Afonso",30152,8,649,1034,450,78,1163,10174,3255,NA,1716505,2019.556,14055,6.96,97.4,0.732,"27.03",85747706.98,78095990.87,60775.63,"TO"
96,"Peixe",287594,14,3465,2610,664,262,1180,24202,12101,NA,1716604,5303.612,9317,1.76,96.1,0.674,"24.39",68487563.45,60522354.94,61181.18,"TO"
97,"Pequizeiro",107036,64,1804,2043,1150,55,369,20459,16000,23,1716653,1206.118,4921,4.08,99.4,0.627,"31.25",38925342.95,36195753.99,19402.49,"TO"
98,"Pindorama do Tocantins",66278,NA,1346,1732,650,121,381,19012,4850,NA,1717008,1560.551,4478,2.87,95,0.605,"32.26",44189272.42,37277897.66,19258.19,"TO"
99,"Piraquê",107824,88,1154,1018,305,13,331,10032,8026,NA,1717206,1363.412,2282,1.67,99,0.621,"-",27014561.26,21391359.28,29605.14,"TO"
100,"Pium",204749,335,2937,2489,249,341,1413,21981,7440,NA,1717503,10003.549,7128,0.71,92.8,0.65,"-",44731543.22,44753903.42,46221.52,"TO"
101,"Ponte Alta do Bom Jesus",51618,NA,1403,923,250,102,559,15153,8960,NA,1717800,1718.791,4220,2.46,96.7,0.603,"-",31018296.33,24593484.22,14426.13,"TO"
102,"Ponte Alta do Tocantins",109613,12,2358,1813,543,450,1335,23502,9870,NA,1717909,6542.838,7586,1.16,95,0.624,"19.23",38762352.64,33399658.52,14791.31,"TO"
103,"Porto Alegre do Tocantins",13426,NA,279,328,78,13,202,4730,3370,NA,1718006,506.717,2866,5.66,98.5,0.645,"54.05",24330862.54,21549237.91,14700.83,"TO"
104,"Porto Nacional",510728,215,11414,23553,9254,1538,9656,200371,73638,NA,1718204,4434.68,64418,14.53,98.3,0.74,"15.61",373712586.94,322446159.7,68063.36,"TO"
