"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Brasília",83061,617,18624,139366,10227,3602,19105,8874733,1599051,64530,5300108,5760.784,2817381,489.06,97.5,0.824,10.08,"-","-",92732.27,"DF"
2,"Brasília",83061,617,18624,139366,10227,3602,19105,8874733,1599051,64530,5300108,5760.784,2817381,489.06,97.5,0.824,10.08,"-","-",92732.27,"DF"
