"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
65,"Granjeiro",4019,NA,105,1442,701,1278,777,15147,9088,NA,2304806,111.528,4841,43.41,98.8,0.585,"-",42570249.58,39213742.45,10730.92,"CE"
66,"Groaíras",4463,NA,255,5683,1882,3252,5850,23559,12458,NA,2304905,155.681,10910,70.08,97.9,0.633,"-",70162292.44,58126867.91,9872.09,"CE"
67,"Guaiúba",5042,26,313,12500,3082,2019,4170,659979,36443,NA,2304954,256.053,24325,95,94.2,0.617,"11.63",111652508,102364025.4,8751.83,"CE"
68,"Guaraciaba do Norte",8994,NA,292,8720,741,1490,1350,55000,16240,NA,2305001,624.606,42053,67.33,97.7,0.609,"8.42",185589111.54,192139693.4,16353.68,"CE"
69,"Guaramiranga",354,3,25,120,35,125,410,7015,2400,NA,2305100,90.817,5654,62.26,97.6,0.637,"13.51",55132640.03,45056689.78,15847.79,"CE"
70,"Hidrolândia",18920,NA,530,3872,677,8342,30840,87460,35800,NA,2305209,926.592,17855,19.27,98,0.597,"17.32",80131315.78,72691493.23,9193.31,"CE"
71,"Horizonte",3850,NA,352,5052,2230,770,3810,3017237,1458089,63050,2305233,160.557,74755,465.6,97.1,0.658,"13.35",437392229.05,405216013.6,30381.03,"CE"
72,"Ibaretama",14143,NA,999,5232,525,9230,25340,202340,36320,NA,2305266,879.255,11956,13.6,95.4,0.577,"12.12",67272937.29,63141237.87,9881.62,"CE"
73,"Ibiapina",3812,50,200,7825,689,732,365,40890,12455,NA,2305308,414.092,23965,57.87,98.5,0.608,"5.21",121491923.44,114932142.5,13850.18,"CE"
74,"Ibicuitinga",11580,NA,990,2923,439,2923,18325,18923,4320,NA,2305332,423.856,11611,27.39,97.9,0.606,"8.77",89464410.6,78757277.77,9815.44,"CE"
75,"Icapuí",2465,NA,263,1678,125,1918,3560,30814,11387,NA,2305357,421.44,21433,50.86,96.8,0.616,"19.9",140570820.8,142325875.9,20364.73,"CE"
76,"Icó",48115,NA,3338,17264,2146,10458,26289,205768,79092,NA,2305407,1865.862,62642,33.57,96.7,0.606,"13.72",278334036.49,263440082.3,10797.31,"CE"
77,"Iguatu",216629,5,6970,42407,5755,24406,60533,823928,183289,2500,2305506,992.208,98064,98.83,96.8,0.677,"11.12",441099828.79,416921562.1,18380.39,"CE"
78,"Independência",47371,NA,1785,12904,2233,57893,125415,67055,36971,NA,2305605,3222.381,24024,7.46,97.6,0.632,"23.73",101250414.12,99229212.81,11712.06,"CE"
79,"Ipaporanga",5850,NA,310,4020,700,1260,13876,32049,12852,NA,2305654,704.773,11575,16.42,97.2,0.579,"22.56",65002441.51,61217869.97,9841.12,"CE"
80,"Ipaumirim",12730,NA,549,3842,481,1417,3819,33910,14544,NA,2305704,276.508,12083,43.7,96.7,0.606,"25",59362381.56,55879363.77,11469.63,"CE"
81,"Ipu",46578,16,2059,37590,5671,31355,27763,344340,97248,NA,2305803,626.049,41081,65.62,97.3,0.618,"12.87",200779083,186753937.3,12333.79,"CE"
82,"Ipueiras",15200,6,353,15800,1712,7800,8000,85200,27872,NA,2305902,1483.258,36798,24.81,98.1,0.573,"8.85",167866879.48,166746313.2,8620.09,"CE"
83,"Iracema",27503,NA,975,16826,1331,11131,20598,35683,8833,NA,2306009,839.174,14001,16.68,98,0.652,"7.41",78137298.38,74945235.82,13607.57,"CE"
84,"Irauçuba",18343,4,694,3892,442,10853,23948,32584,10461,NA,2306108,1466.412,23915,16.31,95.2,0.605,"6.06",136756770.98,116877682.8,9009.98,"CE"
85,"Itaiçaba",2772,NA,178,1876,287,7074,7964,30623,5728,NA,2306207,213.604,7536,35.28,99.5,0.656,"14.71",43255779.26,41472823.68,10482.61,"CE"
86,"Itaitinga",1935,34,402,4228,1150,1060,1910,38552,28755,NA,2306256,153.686,64650,420.66,91.4,0.626,"10.2",281428167.13,264092827.4,32560.63,"CE"
87,"Itapajé",8138,NA,395,2618,252,2268,3028,67200,25300,NA,2306306,432.188,46426,107.42,97.1,0.623,"17.92",205110765.57,215552442.2,11124.48,"CE"
88,"Itapipoca",34464,NA,2557,24884,3232,16816,28794,441391,110359,NA,2306405,1600.358,131123,81.93,97.9,0.64,"8.8",698085995.2,637146326.9,13547.33,"CE"
89,"Itapiúna",9790,NA,471,2315,241,3200,6426,37118,17706,NA,2306504,593.231,17841,30.07,95.3,0.604,"21.98",91449241.3,91730204.93,8246.45,"CE"
90,"Itarema",6617,27,316,11843,1503,1089,8590,127824,12986,NA,2306553,714.833,42957,60.09,96.6,0.606,"11.08",244170338.47,190636495.9,18001.79,"CE"
91,"Itatira",7394,NA,489,5211,881,7134,15600,27473,12152,NA,2306603,829.626,20424,24.62,97.6,0.562,"16.19",149709334.02,141064658.1,7903.96,"CE"
92,"Jaguaretama",55282,5,2915,10157,1224,22674,60221,115260,59146,NA,2306702,1826.826,17232,9.43,96.7,0.612,"-",106991917.16,98906313.46,12498.97,"CE"
93,"Jaguaribara",17325,NA,517,2584,258,5100,19897,21727,11510,NA,2306801,622.963,10356,16.62,97.4,0.618,"8.2",74383604.63,68263926.3,13298.99,"CE"
94,"Jaguaribe",455708,14,23219,181358,42458,207745,515905,908108,432045,NA,2306900,1877.062,33726,17.97,96.4,0.621,"13.62",206180658.69,192677003.2,16222.68,"CE"
95,"Jaguaruana",17387,NA,702,6345,623,14029,37213,78986,35627,NA,2307007,854.362,31701,37.1,98.4,0.624,"9.87",140913845.9,152144578.1,16694.97,"CE"
96,"Jardim",15223,NA,515,2900,327,1375,5254,188524,68526,NA,2307106,544.98,27411,50.3,98.4,0.614,"19.89",114595490.62,113310101,10819.64,"CE"
97,"Jati",8084,NA,188,703,216,2973,2497,11424,5610,NA,2307205,368.359,7861,21.34,98.1,0.651,"-",46701543.84,44354529.15,15917.63,"CE"
98,"Jijoca de Jericoacoara",763,NA,152,2905,505,1224,2405,22614,8141,NA,2307254,209.029,25555,122.26,98.8,0.652,"5.09",183857097.84,168753894.6,27106.16,"CE"
99,"Juazeiro do Norte",12320,27,634,2172,286,898,3110,24000,12000,1170,2307304,258.788,286120,1105.62,97.3,0.694,"12.11",976313944.48,913803631.2,18381.08,"CE"
100,"Jucás",43634,NA,1190,4551,1268,2909,9568,46658,20995,NA,2307403,940.336,23922,25.44,97.5,0.598,"6.73",129279391.09,119305089.5,12801.05,"CE"
101,"Lavras da Mangabeira",58362,NA,4266,20971,2549,12561,27755,208406,82757,150,2307502,945.263,30802,32.59,97.2,0.613,"6.97",124375825.67,120857518.2,10906.84,"CE"
102,"Limoeiro do Norte",30041,NA,979,19185,6084,10602,30608,34188,19146,NA,2307601,744.525,59560,80,98,0.682,"28.65",241056891.87,237193643.3,23631.38,"CE"
103,"Madalena",13874,NA,776,2071,160,2709,14490,23235,9837,NA,2307635,997.781,16896,16.93,98.3,0.61,"16.85",94578780.38,89876779.05,8728,"CE"
