"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
56,"Custódia",29250,NA,1800,12100,3600,164640,144990,44000,18000,NA,2605103,1404.126,37699,26.85,97.1,0.594,"7.77","209203084.64","204345390.6",15780.83,"PE"
57,"Dormentes",16500,NA,3000,9500,4700,143000,345000,38000,28000,NA,2605152,1539.052,17188,11.17,97,0.589,"10.64","99430414.32","101837887.4",12783.05,"PE"
58,"Escada",3277,121,651,654,270,615,984,3125,2813,NA,2605202,342.584,59891,174.82,94.1,0.632,"9.87","275144425.82","230201951.6",18743.36,"PE"
59,"Exu",56667,NA,702,8000,3113,2784,9600,69150,16813,NA,2605301,1336.786,31843,23.82,95.2,0.576,"22.94","149147137.11","144817617.8",10253.15,"PE"
60,"Feira Nova",6438,NA,676,736,167,752,1130,66080,55146,NA,2605400,107.726,21427,198.9,97.6,0.6,"14.23","100531811.97","89365230.1",11071.1,"PE"
61,"Fernando de Noronha",75,NA,5,NA,NA,NA,NA,NA,NA,NA,2605459,18.609,3167,170.19,100,0.788,"-","-","-",73108.78,"PE"
62,"Fernando de Noronha",75,NA,5,NA,NA,NA,NA,NA,NA,NA,2605459,18.609,3167,170.19,100,0.788,"-","-","-",73108.78,"PE"
63,"Ferreiros",2707,185,80,768,141,207,444,48500,3500,NA,2605509,92.516,15026,162.42,97.9,0.622,"8.7","61146416.72","55397609.38",10846.66,"PE"
64,"Flores",17000,NA,675,2520,475,11100,15500,22100,13550,NA,2605608,995.558,20347,20.44,96.4,0.556,"35.71","99018657.62","92344837.99",8530.94,"PE"
65,"Floresta",14200,NA,1400,3700,1070,426195,190000,18100,8250,NA,2605707,3604.948,30137,8.36,95.6,0.626,"20.18","140954607.08","152645174.9",13294.71,"PE"
66,"Frei Miguelinho",7350,NA,310,5900,270,7400,11200,133100,5530,NA,2605806,212.707,13636,64.11,95.4,0.576,"21.98","58926718.1","59103897.74",8407.94,"PE"
67,"Gameleira",4844,729,285,118,25,82,403,170,53,NA,2605905,257.781,18214,70.66,97,0.602,"11.07","95008673.3","85495658.33",8685.09,"PE"
68,"Garanhuns",402071,172,16683,105612,15121,34853,107398,14752753,975663,8057,2606002,458.552,142506,310.77,96.8,0.664,"11.65","529312125.06","522944687.9",21769.91,"PE"
69,"Glória do Goitá",7303,NA,536,2078,155,738,1951,1375667,98000,NA,2606101,234.708,29347,125.04,98.3,0.604,"21.62","126586639.06","120306057.1",17979.59,"PE"
70,"Goiana",2155,7,179,652,170,198,1206,780000,590000,NA,2606200,445.405,81055,181.98,96.7,0.651,"13.77","767850710.89","774292171.5",132714.72,"PE"
71,"Granito",22082,NA,570,4816,1100,4720,21095,21550,7950,NA,2606309,521.69,6967,13.35,98.5,0.595,"27.78","48971876.82","45063106.88",10339,"PE"
72,"Gravatá",19193,87,4031,3175,360,6180,14790,55000,21000,13000,2606408,507.36,86516,170.52,97.2,0.634,"9.85","310722200.6","321709597.6",15938.31,"PE"
73,"Iati",31477,NA,555,4179,780,2827,7413,180935,18200,NA,2606507,635.137,17165,27.03,90.5,0.528,"10.45","95200733.3","99170325.25",10153.51,"PE"
74,"Ibimirim",8450,NA,1376,2690,720,64750,36640,249160,152360,NA,2606606,1882.498,26593,14.13,93.7,0.552,"5.22","109745800.96","102743517.8",11158.32,"PE"
75,"Ibirajuba",12276,NA,321,11546,3956,2365,8090,349380,7780,NA,2606705,189.596,7140,37.66,96.7,0.58,"-","47718958.44","48818343.22",11003.14,"PE"
76,"Igarassu",1200,NA,378,2172,652,569,1333,305000,96000,60000,2606804,306.879,115196,375.38,97.9,0.665,"15.42","409732834.36","419580675.1",29003.48,"PE"
77,"Iguaracy",19000,NA,1300,3500,600,28453,33980,42000,7400,NA,2606903,838.132,11081,13.22,98.7,0.598,"15.75","62944874.65","65247844.96",9161.79,"PE"
78,"Ilha de Itamaracá",574,NA,50,242,73,76,199,1230,230,NA,2607604,66.146,24540,371,97.6,0.653,"8.03","95828577.94","99993070.12",11051.57,"PE"
79,"Inajá",5975,NA,312,810,358,31342,22965,14000,9500,NA,2607000,1231.362,25603,20.79,84.2,0.523,"20.9","116759722.62","113202758.3",8191.73,"PE"
80,"Ingazeira",7522,NA,335,1580,190,4200,6050,70500,9200,NA,2607109,243.586,4765,19.56,98.2,0.608,"-","40851280.23","40107069.62",11130.08,"PE"
81,"Ipojuca",2620,30,860,280,55,440,1040,12000,3600,NA,2607208,521.801,98932,189.6,97.3,0.619,"9.96","1659279430.4","1446070586",150647.79,"PE"
82,"Ipubi",10019,NA,431,4689,1405,1293,8760,47250,11590,NA,2607307,693.914,29009,41.8,95.1,0.55,"21.7","153495294.55","157050710",10800.4,"PE"
83,"Itacuruba",776,NA,295,495,148,20560,22218,14560,10900,NA,2607406,430.038,4284,9.96,97.5,0.595,"-","45187514.53","39833071.78",14220.22,"PE"
84,"Itaíba",76305,NA,506,3222,768,4980,24200,6840,4000,NA,2607505,1061.694,32650,30.75,93.3,0.51,"2.68","120631595.72","118453214",10789.31,"PE"
85,"Itambé",4501,NA,157,1498,348,1754,2043,69000,700,NA,2607653,304.006,34935,114.92,94.6,0.575,"7.43","119149580.19","136873956",14321.34,"PE"
86,"Itapetim",13420,NA,261,9600,2100,10000,10050,213500,26500,NA,2607703,411.901,13791,33.48,97.5,0.592,"23.39","74882859.44","76355963.43",10367.12,"PE"
87,"Itapissuma",227,NA,24,77,23,46,105,4000,1250,NA,2607752,73.968,27749,375.15,97.6,0.633,"2.78","182431566.57","187703338.8",87814.64,"PE"
88,"Itaquitinga",1632,NA,11,52,8,44,76,17000,180,NA,2607802,162.739,16554,101.72,97.3,0.586,"21.51","82095075.78","77074254.88",9431.09,"PE"
89,"Jaboatão dos Guararapes",2700,NA,3050,2150,800,550,2010,371000,85500,23800,2607901,258.724,644037,2489.28,96.8,0.717,"13.96","2156550320.38","1931611747",22680.83,"PE"
90,"Jaqueira",6374,89,58,201,31,247,491,933,634,NA,2607950,87.208,10247,117.5,95.4,0.575,"6.49","64133782.39","58743930.8",9611.54,"PE"
91,"Jataúba",6326,NA,290,2921,292,39174,51078,16695,4173,NA,2608008,714.601,15843,22.17,97.6,0.53,"30.57","85660619.79","80798318.92",8948.98,"PE"
92,"Jatobá",1400,NA,250,600,200,7320,7226,11100,5050,NA,2608057,277.862,14020,50.46,97.7,0.645,"9.9","70500440.84","73561194",10318.9,"PE"
93,"João Alfredo",7550,NA,125,2750,225,1775,3010,60100,3100,NA,2608107,134.147,27725,206.68,97.1,0.576,"10.31","128080094.61","123755615.8",9432.35,"PE"
94,"Joaquim Nabuco",2312,NA,71,30,15,46,77,7859,1316,NA,2608206,122.592,13269,108.24,95.5,0.554,"12.05","62552251.9","61782545.2",11332.6,"PE"
95,"Jucati",8135,NA,176,3701,314,1255,3405,811500,9450,NA,2608255,120.527,11517,95.56,98,0.55,"12.82","67873077.84","61329487.15",11197.05,"PE"
96,"Jupi",8378,12,500,9937,327,577,3000,994202,17500,1925,2608305,104.835,15329,146.22,96.3,0.575,"12.35","102428681.25","96664718.69",14274.96,"PE"
97,"Jurema",9619,59,44,480,184,575,753,93730,9880,NA,2608404,148.254,13648,92.06,96,0.509,"14.93","63503739.16","61957692.45",8579.73,"PE"
98,"Lagoa de Itaenga",2750,78,155,806,145,640,1920,12816,4665,NA,2608503,56.131,19003,338.55,98.9,0.602,"14.04","102179125.83","99096335.43",22468.99,"PE"
99,"Lagoa do Carro",4263,NA,833,1087,370,1080,3470,505768,398734,NA,2608453,69.666,17981,258.1,97.8,0.609,"32.86","96226575.03","95418569.59",16313.12,"PE"
100,"Lagoa do Ouro",27917,NA,160,1419,169,80,1023,191700,24000,NA,2608602,198.762,11933,60.04,96.5,0.525,"-","70629782.01","72687094.04",10467.9,"PE"
101,"Lagoa dos Gatos",8679,NA,550,1500,300,1800,2200,10000,5000,NA,2608701,224.947,14076,62.57,96.5,0.551,"33.78","67618533.28","62449022.66",8286.49,"PE"
102,"Lagoa Grande",7200,NA,1050,4800,2400,142000,79000,32000,25000,NA,2608750,1850.07,24088,13.02,96.3,0.597,"29.41","135070953.22","122528306.2",17510.3,"PE"
103,"Lajedo",20918,30,372,12551,5285,8360,19140,3058700,82200,NA,2608800,189.096,39582,209.32,97.9,0.611,"17.41","198891509.35","192211051.8",14323.21,"PE"
104,"Limoeiro",20100,NA,1700,4550,315,3600,8450,332000,65000,NA,2608909,273.733,56510,206.44,98,0.663,"6.06","220179700.27","195815051.2",14930.68,"PE"
105,"Macaparana",10074,94,322,1463,294,690,1365,280000,1800,NA,2609006,108.049,23879,221,97.9,0.609,"8.65","109630275.2","104006160.9",11092.43,"PE"
106,"Machados",1850,NA,75,900,57,750,630,118000,23300,NA,2609105,61.619,11333,183.92,82.9,0.578,"5.62","78334012.38","73422436.2",13069.99,"PE"
107,"Manari",10951,NA,250,795,45,3825,11480,24880,14720,NA,2609154,344.685,23763,68.94,93.4,0.487,"15.15","82214017.52","86759294.14",6293.67,"PE"
108,"Maraial",10430,201,234,262,116,257,479,1475,1094,NA,2609204,199.865,9359,46.83,94.1,0.534,"7.52","50770779.15","49996135.75",8333.9,"PE"
109,"Mirandiba",8224,NA,700,1892,454,60478,27520,13900,4865,NA,2609303,821.676,14166,17.24,95.8,0.591,"27.67","68974226.31","68519333",10509.75,"PE"
110,"Moreilândia",13180,NA,1667,2400,480,4712,12230,21480,7303,260,2614303,404.287,10540,26.07,96.8,0.6,"8.06","54775934.99","62054321.2",8074.11,"PE"
111,"Moreno",5090,170,780,2430,776,871,2830,22000,3100,NA,2609402,194.197,55292,284.72,95.8,0.652,"8.85","195372346.42","209858685.9",13990.88,"PE"
112,"Nazaré da Mata",4503,NA,197,1579,350,845,1280,834508,154775,NA,2609501,130.572,30648,234.72,96.1,0.662,"8.85","101941543.14","108275647.6",21071.46,"PE"
113,"Olinda",51,NA,103,254,76,95,14,3850,1395,5832,2609600,41.3,349976,8474,96.9,0.735,"12.97","1036061448.1","1056797825",14700.91,"PE"
114,"Orobó",6050,NA,260,11000,250,5700,7600,1582820,1120500,NA,2609709,138.521,21808,157.43,97.2,0.61,"12.3","123925123.57","107863565.7",16626.83,"PE"
115,"Orocó",4200,NA,480,950,520,35000,70000,17000,10600,NA,2609808,554.76,13613,24.54,98,0.61,"35.18","74022709.55","74827671.01",12178.95,"PE"
116,"Ouricuri",43555,NA,2725,16890,2897,55967,91262,72780,21787,NA,2609907,2381.57,65245,27.4,92.4,0.572,"21.25","240157059.46","245265184.5",11076.44,"PE"
117,"Palmares",12550,191,349,676,222,493,1140,1101,461,NA,2610004,339.401,54584,160.82,96.3,0.622,"14.71","232239580.55","224437856.5",14497.54,"PE"
118,"Palmeirina",17060,NA,900,1530,168,71,617,96000,3250,NA,2610103,168.796,7031,41.65,94,0.549,"22.22","42144995.65","44965792.94",10648.42,"PE"
119,"Panelas",15136,NA,516,1458,292,1281,2457,9868,2960,NA,2610202,380.428,22991,60.43,98.6,0.569,"25.81","135222433.73","130069833.3",8682.82,"PE"
120,"Paranatama",7771,NA,2322,2645,631,2440,6206,266550,21000,337,2610301,185.371,12199,65.81,97.9,0.537,"5.46","69730076.29","76512954.75",24618.65,"PE"
121,"Parnamirim",28723,NA,899,5460,1092,142825,128820,38032,17875,205,2610400,2609.548,18612,7.13,97,0.599,"12.3","92835659.54","98876052.34",9604.04,"PE"
122,"Passira",13850,NA,800,2800,190,2700,9500,40300,25800,NA,2610509,327.21,28340,86.61,95.9,0.592,"5.7","122374217.53","119444041.1",9167.82,"PE"
123,"Paudalho",6997,89,1272,15245,3884,2054,3549,2938487,1411832,NA,2610608,269.651,56665,210.14,96.7,0.639,"13.4","238646879.86","218472377.1",16153.32,"PE"
124,"Paulista",869,NA,307,4542,1363,271,1297,270357,50140,7430,2610707,96.932,342167,3529.97,97.9,0.732,"13.8","825487436.22","910165054.5",16596.43,"PE"
125,"Pedra",47320,NA,1709,25360,2200,6450,12220,15000,9000,NA,2610806,922.602,22795,24.71,92,0.567,"25.64","90989660.78","93001943.6",13488.22,"PE"
126,"Pesqueira",37280,NA,995,7782,1162,5816,8205,671230,108500,NA,2610905,960.042,62722,65.33,97.4,0.61,"9.22","231690759.75","224288243.1",12776.4,"PE"
127,"Petrolândia",4000,NA,400,2400,550,33200,28100,120000,80000,NA,2611002,1056.589,34161,32.33,96,0.623,"10.4","183190673.45","175697342.5",44994.8,"PE"
128,"Petrolina",97335,27,16852,55367,27254,954389,1188611,249710,166189,NA,2611101,4561.87,386791,84.79,97,0.697,"14.86","1555768387.86","1436920138",22244.46,"PE"
129,"Poção",12174,NA,743,6763,1370,4270,5011,25863,5010,NA,2611200,205.119,10500,51.19,97,0.528,"6.71","52427526.14","49369183.95",9029.63,"PE"
130,"Pombos",8243,50,747,9968,1630,2094,3937,947107,175200,9540,2611309,239.832,27552,114.88,95,0.598,"9.09","105309408.14","102717608.5",19577.38,"PE"
131,"Primavera",2100,NA,311,460,200,429,490,320,220,NA,2611408,113.135,13838,122.31,96.7,0.58,"6.33","64172017.73","57179581.42",19151.45,"PE"
132,"Quipapá",19929,418,678,196,59,531,1034,2077,1141,NA,2611507,230.617,17928,77.74,97.2,0.552,"22.73","88179919.42","93614418.5",7310.24,"PE"
133,"Quixaba",8018,2,100,2000,356,2200,2700,19100,6000,NA,2611533,210.705,6554,31.11,99.2,0.577,"12.35","51477669.67","55791094.75",9868.19,"PE"
134,"Recife",13338,186,7204,15764,4598,3736,10443,1837357,292135,76562,2611606,218.843,1488920,6803.6,97.1,0.772,"10.93","8255113251.47","7980646400",33094.37,"PE"
135,"Riacho das Almas",9411,NA,290,2410,482,4582,8196,301941,105408,NA,2611705,314.003,20639,65.73,93.4,0.57,"15.33","104044790.97","97040629.04",12560.89,"PE"
136,"Ribeirão",6516,1790,703,773,450,613,1099,7000,6500,800,2611804,289.566,33507,115.71,92.9,0.602,"7.58","148703008.97","158419794.2",12055.44,"PE"
137,"Rio Formoso",3739,1361,167,216,19,13,152,2700,2160,NA,2611903,227.458,20009,87.97,89.5,0.613,"21.82","107626018.48","110008598",16015.49,"PE"
138,"Sairé",17660,106,872,935,190,777,1500,280000,58500,NA,2612000,190.455,10887,57.16,97.7,0.585,"8.93","55736427.08","51639167.39",18356.8,"PE"
139,"Salgadinho",2650,NA,100,315,30,260,660,17000,570,NA,2612109,87.217,5727,65.66,87.6,0.534,"-","54844294.83","47951479.59",7217.62,"PE"
140,"Salgueiro",123965,32,7284,24360,4633,322800,330053,494087,86755,205,2612208,1678.564,62372,37.16,96.7,0.669,"10.68","236629840.22","229781156.2",16278.25,"PE"
141,"Saloá",14853,NA,198,1992,500,4062,11323,302600,17400,NA,2612307,251.549,13836,55,97.4,0.559,"11.11","80537279.36","84987950.66",10771.47,"PE"
142,"Sanharó",17860,NA,581,10053,2998,3505,6238,682338,64480,NA,2612406,268.065,18624,69.48,93.2,0.603,"15.94","101914909.18","90288491.05",9091.27,"PE"
143,"Santa Cruz",7362,NA,593,4522,802,104112,120724,36180,8498,NA,2612455,1245.983,13841,11.11,97.5,0.549,"14.78","84706287.4","80700262.55",8501.98,"PE"
144,"Santa Cruz da Baixa Verde",4600,NA,260,1300,220,2550,5500,17000,5600,NA,2612471,114.932,11567,100.64,97.8,0.612,"6.9","63583024.05","64403045.47",8935.61,"PE"
145,"Santa Cruz do Capibaribe",4681,NA,502,1333,200,14231,11077,20000,7000,NA,2612505,335.309,98254,293.03,95.7,0.648,"16.24","375375267.22","340562068.3",17222.96,"PE"
146,"Santa Filomena",5795,NA,423,4997,1090,38748,92568,38520,7750,NA,2612554,1005.341,12106,12.04,97,0.533,"12.42","65583901.59","62500095.49",7636.03,"PE"
147,"Santa Maria da Boa Vista",11500,NA,1900,3000,1600,118000,65000,35000,28000,NA,2612604,3000.774,40578,13.52,97.4,0.59,"15.18","180125301.01","192356895.2",13344.05,"PE"
148,"Santa Maria do Cambucá",4380,NA,90,2290,100,3300,4700,34100,2700,NA,2612703,92.148,14013,152.07,96.4,0.548,"29.24","64923881.71","60538291.63",8545,"PE"
149,"Santa Terezinha",6400,NA,197,1720,200,1300,2570,83750,5200,NA,2612802,200.327,10244,51.14,97.8,0.593,"7.81","59074233.2","57872107.8",9637.75,"PE"
