"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
211,"Itaara",3283,NA,525,125,23,34,1805,3200,1901,57,4310538,172.801,5572,32.25,"99.1","0.76","18.52",39068406.66,29379484.21,51436.88,"RS"
212,"Itacurubi",83243,670,2287,727,133,17,26105,6400,2250,67,4310553,1120.874,2995,2.67,"96.3","0.657","76.92",38143595.61,32929054.13,71263.11,"RS"
213,"Itapuca",3310,NA,108,11493,495,32,693,742983,4250,45,4310579,184.673,1937,10.49,"97.5","0.664","-",28503527.8,26077072.85,46261.07,"RS"
214,"Itaqui",177719,161,5582,1708,583,69,25884,186,86,NA,4310603,3406.606,35768,10.5,"98.7","0.713","26.07",226058978.38,182939044.4,58531.72,"RS"
215,"Itati",3900,NA,129,31,7,37,150,3169,2824,NA,4310652,205.06,2638,12.86,"97.7","0.669","-",32074034.07,30532069.85,36490.36,"RS"
216,"Itatiba do Sul",11386,NA,114,12479,137,121,356,51000,8500,480,4310702,212.669,3208,15.08,"99.2","0.681","-",41859183.24,32808581.93,25996.27,"RS"
217,"Ivorá",5018,NA,75,691,90,NA,203,9336,7070,41,4310751,122.93,1929,15.69,"97.1","0.724","-",14077809.88,23070691.3,38786.64,"RS"
218,"Ivoti",2087,5,143,305,65,69,275,115122,8893,430,4310801,63.092,22983,364.28,"100","0.784","4.39",168933195.62,139192355.8,47087.23,"RS"
219,"Jaboticaba",5652,32,200,15836,786,26,460,15478,3984,NA,4310850,127.589,3779,29.62,"98.1","0.658","23.26",34868362.21,30617297.25,36578.03,"RS"
220,"Jacuizinho",9777,35,373,1267,235,NA,1612,13500,8700,NA,4310876,339.399,2040,6.01,"98.1","0.662","86.96",30051698.54,25560301.91,82423.05,"RS"
221,"Jacutinga",3457,NA,85,5657,1759,6,813,210000,3400,NA,4310900,178.009,3338,18.75,"97.4","0.726","25.64",41909836.09,35330613.62,65770.01,"RS"
222,"Jaguarão",286822,113,14322,1554,431,273,153928,13300,4313,NA,4311007,2051.845,26603,12.97,"97.1","0.707","7.04",155654756.75,143857764.1,40239.75,"RS"
223,"Jaguari",52763,22,964,1328,292,65,4054,28100,21100,NA,4311106,675.314,10579,15.67,"97","0.712","-",65430854.04,63191366.67,35381.69,"RS"
224,"Jaquirana",38021,8,1268,440,79,10,2326,7000,5800,NA,4311122,908.879,3690,4.06,"96.1","0.614","-",44490757.75,42246235.59,26042.85,"RS"
225,"Jari",44154,48,1119,1342,281,NA,11103,13000,8700,55,4311130,853.08,3349,3.93,"96","0.631","37.04",39352532.25,35137107.42,135082.01,"RS"
226,"Jóia",46940,160,1055,2845,435,21,10915,25000,10500,NA,4311155,1238.918,7184,5.8,"96.6","0.686","-",71653047.98,60804565.43,113803.19,"RS"
