"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
468,"Quatá",25464,NA,455,415,90,NA,95,1357100,1056095,NA,3541703,651.341,13163,20.21,98.7,0.738,"6.29",101753262.35,99924316.91,57387.58,"SP"
469,"Queiroz",9797,1056,250,52,35,10,320,2177550,1940000,NA,3541802,234.914,3265,13.9,98.1,0.715,"-",54835856.93,46904111.24,194914.13,"SP"
470,"Queluz",11200,NA,215,345,55,65,155,1300,650,NA,3541901,249.399,9159,36.72,98,0.722,"8.06",73783922.22,79506588.09,28178.35,"SP"
471,"Quintana",30798,NA,474,157,50,6,235,680,400,NA,3542008,318.937,7038,22.07,98.1,0.732,"-",49558618.7,43782746.73,41016,"SP"
472,"Rafard",3937,NA,101,10100,51,NA,239,521700,7194,NA,3542107,121.645,8965,73.7,98.3,0.745,"9.71",61032059.1,62174566.86,48529.75,"SP"
473,"Rancharia",94950,32,1015,750,260,38,530,1547300,1265225,NA,3542206,1587.498,28588,18.01,97.5,0.751,"20",180459583.82,169981829.8,46459.21,"SP"
474,"Redenção da Serra",16280,15,703,670,204,245,202,97386,39299,NA,3542305,309.441,4494,14.52,95.2,0.657,"27.03",36572005.91,36402907.78,17461.44,"SP"
475,"Regente Feijó",28799,279,775,420,88,70,70,840750,675800,NA,3542404,263.28,20145,76.52,98.8,0.768,"20",126211923.97,114290563.5,47932.82,"SP"
476,"Reginópolis",20746,28,430,600,100,8,560,4300,2600,NA,3542503,410.406,7662,18.67,98.8,0.728,"-",52960271.29,51765388.92,18401.03,"SP"
477,"Registro",68210,47795,2525,3516,540,848,2020,46700,37400,NA,3542602,722.201,59947,83.01,97.3,0.754,"11.38",304653775.17,310042187.5,41751.4,"SP"
478,"Restinga",6400,NA,175,574,150,200,285,NA,NA,NA,3542701,245.746,6404,26.06,98.6,0.705,"48.19",47477925.37,47187952.98,27280.56,"SP"
479,"Ribeira",4652,723,252,800,120,200,300,14850,5940,NA,3542800,335.759,3132,9.33,97,0.698,"26.32",34764402.41,33289524.4,18699.17,"SP"
480,"Ribeirão Bonito",11500,350,170,1700,NA,25,500,795000,225500,NA,3542909,471.553,10989,23.3,98.7,0.712,"14.93",65596176.07,65507481.93,27794.44,"SP"
481,"Ribeirão Branco",10361,53,600,1000,360,180,700,19490,6000,NA,3543006,697.5,18627,26.71,97.5,0.639,"12.24",87186273.53,78562928.92,37255.94,"SP"
482,"Ribeirão Corrente",3700,NA,180,1200,230,30,320,330000,NA,NA,3543105,148.332,4608,31.07,100,0.711,"-",46819918.23,42038359.6,66664.82,"SP"
483,"Ribeirão do Sul",3920,11,100,410,50,10,140,3200,900,NA,3543204,203.208,4677,23.02,99,0.747,"-",38751426.84,39911485.83,49451.73,"SP"
484,"Ribeirão dos Índios",24150,NA,293,1075,236,138,230,5400,1200,NA,3543238,196.446,2025,10.31,98.6,0.721,"-",29258133.37,26354062.79,21152.38,"SP"
485,"Ribeirão Grande",4011,340,700,1240,342,250,150,16500,8250,NA,3543253,333.363,7450,22.35,96.8,0.705,"12.82",49246992.49,49423936.44,15221.41,"SP"
486,"Ribeirão Pires",40,NA,NA,NA,NA,60,NA,2000,550,NA,3543303,98.972,115559,1167.59,97.4,0.784,"11.41",545843625.02,516196745,31068.87,"SP"
487,"Ribeirão Preto",553640,1763,29363,81873,11406,4370,29548,17384214,1787955,10768,3543402,650.916,698642,1073.32,96.9,0.8,"9.69",4209742708.41,4285286746,55484.91,"SP"
488,"Rifaina",6700,NA,110,310,235,315,40,120000,NA,NA,3543600,162.508,4049,24.92,99.2,0.74,"-",57841696.32,53733051.73,52357.63,"SP"
489,"Rincão",4910,279,42,280,60,NA,50,293000,10000,NA,3543709,316.639,9098,28.73,98.2,0.734,"-",59724887.16,59729788.22,20883.52,"SP"
490,"Rinópolis",41037,34,600,125,60,10,270,1940500,1787280,450000,3543808,358.481,9259,25.83,98.6,0.723,"-",55514866.27,48378392.56,35113.28,"SP"
491,"Rio Claro",114800,646,3104,39423,3034,383,2108,5469885,1578254,NA,3543907,498.422,201418,404.11,98.2,0.803,"11.2",1354725671.37,1365493630,63209.08,"SP"
492,"Rio das Pedras",2193,NA,154,188,33,39,315,140700,5770,NA,3544004,226.657,31328,138.22,98.4,0.759,"8.22",202587103,185092476.9,49338.49,"SP"
493,"Rio Grande da Serra",30,NA,25,NA,NA,10,NA,300,100,NA,3544103,36.341,44170,1215.43,98.2,0.749,"10.73",158315631.53,138338961.5,18472.33,"SP"
494,"Riolândia",38290,2,650,210,70,55,220,290000,8600,NA,3544202,631.897,10309,16.31,96.7,0.703,"10.31",80339373.39,71617417.3,20921.21,"SP"
495,"Riversul",25980,150,706,250,30,10,60,8000,1900,100,3543501,385.878,5599,14.51,95.9,0.664,"-",43969085.53,42980451.73,17299.84,"SP"
496,"Rosana",62687,NA,908,1100,130,210,938,13200,5068,NA,3544251,744.011,17440,23.44,98.1,0.764,"9.95",137035826.53,136278610.8,121065.75,"SP"
497,"Roseira",7798,22,100,290,70,7,NA,500,245,NA,3544301,129.847,10832,83.42,98.7,0.737,"10.53",71083148.49,65756701.23,34421.96,"SP"
498,"Rubiácea",19490,NA,880,840,405,90,1180,5120,4150,NA,3544400,236.484,2700,11.42,99.5,0.721,"-",32393181.02,29301733.07,24710.59,"SP"
499,"Rubinéia",18715,NA,350,376,90,NA,120,1640,831,NA,3544509,242.877,3833,15.78,100,0.759,"-",42538623.15,39249054.81,32233.41,"SP"
500,"Sabino",10101,NA,127,280,62,NA,207,4680,647,NA,3544608,305.285,5112,16.75,97.2,0.728,"-",52275820.27,46042705.43,31123.73,"SP"
501,"Sagres",12100,NA,150,235,26,27,168,1500,1100,NA,3544707,147.935,2474,16.72,99.2,0.73,"31.25",27455746.73,25476068.9,22566.69,"SP"
502,"Sales",26500,300,495,475,80,138,1310,43000,1050,NA,3544806,308.555,6437,20.86,100,0.751,"-",60652265.88,55249122.57,26150.29,"SP"
503,"Sales Oliveira",5353,31,393,826,230,92,805,1398207,47981,98,3544905,305.776,11411,37.32,98.8,0.772,"-",78458597.26,87099802.23,34473.89,"SP"
504,"Salesópolis",4620,36,362,66,7,30,392,NA,NA,NA,3545001,424.997,15202,35.77,98.4,0.732,"5.65",106155725.73,84928458.02,14499.33,"SP"
