"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
228,"Lajedo do Tabocal",12843,NA,457,34,7,5,68,5582,1451,NA,2919058,382.937,7494,19.57,97.8,0.584,"-",49488505.86,47792514.59,9120.23,"BA"
229,"Lamarão",8391,NA,1260,2175,552,1880,5440,52800,19090,165,2919108,189.257,9015,47.63,95.2,0.518,"-",43852739.17,42126050.93,8049.98,"BA"
230,"Lapão",12220,NA,686,3508,470,1535,14141,24859,7350,NA,2919157,642.882,25736,40.03,97,0.596,"5.38",147721817.67,128434744.9,11066.55,"BA"
231,"Lauro de Freitas",175,NA,258,201,26,105,56,2528,480,3565,2919207,57.942,203331,3509.22,97.2,0.754,"16.31",1005185594.81,937404473.2,35778.64,"BA"
232,"Lençóis",5069,NA,160,120,54,163,67,6190,1237,NA,2919306,1283.328,10774,8.4,97.2,0.623,"58.25",66700974.35,68921261.1,14642.25,"BA"
233,"Licínio de Almeida",17554,NA,1143,1945,240,1625,1236,26174,15870,NA,2919405,856.626,11834,13.81,98.4,0.621,"15.75",51387419.37,53899686.45,12747.54,"BA"
234,"Livramento de Nossa Senhora",35045,NA,963,6386,877,3687,5451,51316,18987,NA,2919504,1952.51,43903,22.49,98.1,0.611,"3.99",172041983.03,154030370.9,12415.24,"BA"
235,"Luís Eduardo Magalhães",76370,17,1622,4564,534,3225,8213,3190749,145964,2695,2919553,4036.094,107909,26.74,96.4,0.716,"8.04",675812464.98,631986763.3,95182.4,"BA"
236,"Macajuba",23376,NA,1570,3601,634,1029,7164,13925,4317,NA,2919603,701.171,10454,14.91,97.6,0.524,"16.67",65722700.28,67845526.2,8021.62,"BA"
237,"Macarani",118933,370,3538,1339,222,87,798,14253,3237,NA,2919702,1210.106,21599,17.85,96.7,0.605,"-",80088117.72,74643124.05,11918.82,"BA"
238,"Macaúbas",41144,NA,2690,7772,1546,2389,5348,104363,39658,NA,2919801,2459.102,41859,17.02,97.9,0.609,"19.27",179375887.26,188171505.2,8545.27,"BA"
239,"Macururé",2361,NA,405,1387,325,123907,66325,10287,2469,NA,2919900,2545.856,7256,2.85,97.1,0.604,"10.75",45630191.4,44707944.95,8711.97,"BA"
240,"Madre de Deus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2919926,32.201,18504,574.64,98.5,0.708,"11.11",292950796.5,262744060.9,23697.45,"BA"
241,"Maetinga",7750,4,836,234,54,1780,1223,17508,5427,NA,2919959,614.834,6973,11.34,96.8,0.538,"16.95",34790601.46,39134603.15,21006.45,"BA"
242,"Maiquinique",63111,136,2418,1379,201,224,1023,13897,5845,NA,2920007,588.297,8731,14.84,98.1,0.576,"36.7",45758867.12,45455619.91,19907.79,"BA"
243,"Mairi",39191,NA,2042,1701,257,703,3717,41889,17593,NA,2920106,906.68,17674,19.49,98,0.572,"-",76493957.63,79748842.8,8568.25,"BA"
244,"Malhada",81901,NA,1644,3092,575,799,2395,34126,12282,NA,2920205,1979.193,15398,7.78,97.4,0.562,"8.7",79538280.01,74565687.36,11144.59,"BA"
245,"Malhada de Pedras",18590,NA,1594,4345,925,4743,2221,28965,8145,NA,2920304,550.55,8670,15.75,97.4,0.578,"10.75",56091725.36,53572708.84,9685.22,"BA"
246,"Manoel Vitorino",54547,NA,942,1481,290,12560,13858,18574,7839,NA,2920403,2201.764,13860,6.29,98.2,0.566,"7.25",57506268.18,57174179.35,10804.93,"BA"
247,"Mansidão",29789,NA,706,3124,449,2795,5453,25322,9116,NA,2920452,3129.588,13919,4.45,99.3,0.599,"39.47",60118726.81,53135459.74,6778.15,"BA"
248,"Maracás",54765,13,1219,812,99,2721,3958,21737,9254,NA,2920502,2413.27,27620,11.45,97.2,0.607,"13.25",130548464.46,124076677.6,32865.72,"BA"
249,"Maragogipe",6204,9,435,1250,125,105,385,31620,3295,NA,2920601,437.61,35859,81.94,96.8,0.621,"12.38",158478162.12,164995763.8,8971.96,"BA"
250,"Maraú",4445,NA,145,130,15,133,51,10655,2877,NA,2920700,848.885,24527,28.89,95,0.593,"15.56",115920150.83,113302173.8,16520.48,"BA"
251,"Marcionílio Souza",48414,6,973,925,130,4336,6606,8603,1893,NA,2920809,1099.283,9267,8.43,96.1,0.561,"17.86",64034476.68,59485779.61,9115.8,"BA"
252,"Mascote",30038,2,461,295,32,175,94,6230,850,NA,2920908,742.689,13544,18.24,95,0.581,"32",70404985.36,64978989.58,11858.24,"BA"
253,"Mata de São João",11606,498,820,6275,650,613,1831,9117,2950,NA,2921005,605.168,42566,70.34,98.1,0.668,"10.79",412722182.89,416945129.3,27889.83,"BA"
254,"Matina",33949,NA,1033,4133,785,388,1261,36042,14777,NA,2921054,773.278,10330,13.36,97.5,0.572,"28.04",58690017.74,54269821.97,7422.78,"BA"
255,"Medeiros Neto",131658,271,3396,2367,367,295,5822,10060,3018,NA,2921104,1311.739,22194,16.92,96.7,0.625,"10.42",122252267.41,116901786.6,22632.21,"BA"
256,"Miguel Calmon",43870,NA,1165,276,38,1938,4586,21547,9912,NA,2921203,1599.672,24661,15.42,97.5,0.586,"26.14",127656349.94,94717003.8,10599.55,"BA"
257,"Milagres",6822,17,139,168,25,1190,1257,5266,1876,NA,2921302,420.358,11071,26.34,98.9,0.622,"22.06",62720870.65,59243477.2,13287.94,"BA"
258,"Mirangaba",26862,NA,389,108,22,2583,3674,10014,5708,NA,2921401,1751.778,15734,8.98,98.4,0.542,"32.26",89684784.38,76384217.31,7602.4,"BA"
259,"Mirante",20963,NA,871,838,514,8751,5189,18793,7948,NA,2921450,1172.86,10187,8.69,97.3,0.527,"20",47486409.72,44272198.47,9514.96,"BA"
260,"Monte Santo",41436,11,626,3117,398,52996,106975,92350,61920,NA,2921500,3034.197,47780,15.75,98.1,0.506,"21.56",254528872.04,250756853.4,9360.71,"BA"
261,"Morpará",30773,NA,175,95,33,1084,835,10787,2568,NA,2921609,2093.872,7996,3.82,97.9,0.558,"9.8",44191452.84,41831365.11,9281.16,"BA"
262,"Morro do Chapéu",50185,3,426,486,99,1725,4185,27125,11121,NA,2921708,5744.969,33594,5.85,96.5,0.588,"12.76",213086970.81,194192593.2,17648.85,"BA"
263,"Mortugaba",12359,NA,1136,7138,1375,NA,126,43574,12201,NA,2921807,528.214,11143,21.1,99.7,0.618,"8.55",56063194.9,52674882.6,8854.99,"BA"
264,"Mucugê",8898,NA,487,638,75,172,777,11360,5206,NA,2921906,2462.153,12137,4.93,97.5,0.606,"22.99",84296776.79,77534319.78,88818.38,"BA"
265,"Mucuri",46196,93,1363,1971,255,656,701,52536,15235,NA,2922003,1787.626,37977,21.24,94.1,0.665,"7.04",264738916.23,243904719.8,51787.26,"BA"
266,"Mulungu do Morro",5138,NA,353,764,70,1098,1328,27841,7239,NA,2922052,646.621,13152,20.34,98.4,0.566,"5.18",70263568.86,67330533.12,20336.37,"BA"
267,"Mundo Novo",70641,NA,2410,1494,215,613,1673,22477,5844,NA,2922102,1491.99,17305,11.6,96.5,0.59,"6.45",99431108.69,91885185.55,7337.41,"BA"
268,"Muniz Ferreira",9064,NA,674,66,7,145,245,35747,5362,NA,2922201,104.54,7190,68.78,98.2,0.617,"29.85",45429018.47,42596933.27,8950.97,"BA"
269,"Muquém do São Francisco",128624,NA,1889,3162,626,3330,4335,14645,4500,NA,2922250,3852.111,10443,2.71,97.1,0.549,"18.52",68698395.71,62764935.82,18319.58,"BA"
270,"Muritiba",4089,5,230,NA,NA,127,215,391853,2320,NA,2922300,86.311,28707,332.6,96.7,0.66,"9.71",157376155.59,145528571.6,9407.81,"BA"
271,"Mutuípe",10940,27,725,776,87,90,635,36568,4022,5994,2922409,275.854,20037,72.64,98.7,0.601,"4.07",90835244.71,84914794.76,21100.38,"BA"
272,"Nazaré",9241,10,573,416,56,81,425,7737,1547,NA,2922508,278.629,27060,97.12,96.9,0.641,"12.5",188711858.22,172105470.4,11540.19,"BA"
273,"Nilo Peçanha",388,NA,79,43,5,10,6,4598,506,NA,2922607,388.936,12063,31.02,94.9,0.547,"12.58",89339049.11,83921310.68,13139.06,"BA"
274,"Nordestina",7473,NA,236,758,85,6912,8002,15687,9240,NA,2922656,465.407,18523,39.8,98.7,0.56,"6.37",83044393.48,81466215.18,12189.34,"BA"
275,"Nova Canaã",65674,5,2633,2614,367,54,890,32314,8836,NA,2922706,804.617,13715,17.05,96.9,0.545,"23.81",78354443.49,78966624.43,10572.94,"BA"
276,"Nova Fátima",16498,NA,711,1256,62,3030,15579,9166,3393,NA,2922730,346.784,7967,22.97,98.5,0.597,"13.33",39032431.1,34982944.17,12158.12,"BA"
277,"Nova Ibiá",2103,30,170,78,20,NA,51,9506,951,NA,2922755,203.198,6501,31.99,97,0.57,"-",42022282.61,40623720.24,15600.07,"BA"
278,"Nova Itarana",11129,8,214,212,24,1397,1486,9049,1900,NA,2922805,475.381,7780,16.37,97.4,0.524,"-",59343927.32,54683769.58,8800.02,"BA"
279,"Nova Redenção",18130,NA,1200,1000,200,496,600,9000,2800,NA,2922854,565.356,7538,13.33,95.1,0.567,"23.81",37782635.84,36385997.99,8283.67,"BA"
280,"Nova Soure",36138,2,2065,1246,325,3241,13570,43225,12275,NA,2922904,966.993,24236,25.06,97.6,0.555,"25.97",112527932.9,106168340.5,10047.07,"BA"
281,"Nova Viçosa",29552,NA,716,1339,139,125,339,5696,1652,NA,2923001,1316.379,39509,30.01,97,0.654,"11.56",179857354.15,167164581.3,13040.8,"BA"
282,"Novo Horizonte",18366,NA,700,1600,600,1100,900,16000,8000,500,2923035,627.5,11162,17.79,97.4,0.597,"14.71",65185860.27,59712855.91,8316.99,"BA"
283,"Novo Triunfo",9606,NA,488,409,40,590,3028,10700,7300,NA,2923050,278.487,10660,38.28,94.6,0.554,"-",80538511.66,73267978.12,6729.14,"BA"
284,"Olindina",24570,NA,1870,1309,177,1125,7283,21395,8250,375,2923100,637.317,22633,35.51,91.4,0.559,"8.2",109451593.65,98197148.29,8535.66,"BA"
285,"Oliveira dos Brejinhos",42252,NA,1463,3167,1870,24948,19051,42426,33941,514,2923209,3313.418,20715,6.25,97.8,0.554,"3.98",99343064.02,128103250,13393.04,"BA"
286,"Ouriçangas",9401,NA,849,760,109,38,567,19305,1711,NA,2923308,156.982,7716,49.15,98.7,0.607,"-",53337487.02,57057468.53,9404.52,"BA"
287,"Ourolândia",19170,NA,387,181,36,4406,7498,14500,8000,NA,2923357,1544.988,19243,12.46,97.7,0.56,"9.13",111198796.81,100074063,15949.53,"BA"
288,"Palmas de Monte Alto",113535,NA,1834,4478,625,1926,9115,41350,15705,NA,2923407,2560.027,20078,7.84,99,0.586,"13.95",86693022.52,79433503.56,10905.54,"BA"
289,"Palmeiras",3503,NA,280,588,144,90,384,12000,3686,258,2923506,737.454,10339,14.02,96.2,0.643,"31.25",46984146.53,43444267.75,11814.68,"BA"
290,"Paramirim",16918,NA,538,4347,565,706,2974,43924,10981,NA,2923605,1087.06,20351,18.72,96.7,0.615,"13.76",92554137.28,88005299.18,12441.24,"BA"
291,"Paratinga",47592,NA,1805,5525,969,2107,1620,63925,12935,NA,2923704,2624.998,29252,11.14,98.9,0.59,"31.66",132384088.48,130537365.7,8074.4,"BA"
292,"Paripiranga",26793,NA,1310,7085,709,794,24416,78000,19800,17750,2923803,442.186,26604,60.16,97.4,0.577,"18.45",117990169.55,115330303.8,15610.33,"BA"
293,"Pau Brasil",41004,92,1741,465,50,45,597,7360,1980,NA,2923902,626.306,9370,14.96,96.9,0.583,"28.17",43458501.89,43980896.42,11070.88,"BA"
294,"Paulo Afonso",40643,NA,3957,11162,1888,483352,383479,397601,292898,6000,2924009,1544.388,112870,73.08,96.4,0.674,"11.79",474306494.04,472150513.8,33262.53,"BA"
295,"Pé de Serra",34072,NA,919,4420,548,2077,11134,29104,13405,NA,2924058,596.771,13243,22.19,98,0.587,"6.54",68454720.38,66966078.42,9712.24,"BA"
296,"Pedrão",9552,NA,607,591,43,109,392,40077,5310,NA,2924108,158.488,6235,39.34,98.3,0.588,"-",39412585.74,35307035.97,7028.06,"BA"
297,"Pedro Alexandre",38613,92,1350,1095,95,1375,8041,31595,12551,NA,2924207,889.572,13954,15.69,94.4,0.513,"26.74",77775932.09,80205298.3,7145.33,"BA"
298,"Piatã",6740,NA,122,1760,236,275,767,32500,10075,NA,2924306,1825.857,20086,11,98.6,0.571,"28.67",113041529.56,107512657.1,14405.06,"BA"
299,"Pilão Arcado",23376,NA,2565,22172,4061,246749,210763,82008,15582,NA,2924405,11597.923,35357,3.05,95.8,0.506,"13.44",148847468.9,149978567,8255.65,"BA"
300,"Pindaí",35604,NA,1374,6223,1025,876,2756,43811,24972,NA,2924504,628.468,14731,23.44,98.5,0.603,"15",75263724.95,70556121.13,18183.92,"BA"
301,"Pindobaçu",14349,NA,115,509,69,749,2302,14809,6368,3665,2924603,495.845,19083,38.49,98.6,0.577,"7.91",114111381.55,107229188.5,7836.92,"BA"
302,"Pintadas",30821,NA,1245,995,150,2272,18557,21105,8024,NA,2924652,647.144,10325,15.95,96.7,0.612,"12.2",48069890.74,45722241.79,10561.22,"BA"
303,"Piraí do Norte",2258,8,88,NA,NA,34,79,5335,480,NA,2924678,193.427,10974,56.73,95.4,0.533,"10.75",45479391.1,45811797.43,11643.35,"BA"
304,"Piripá",8675,NA,629,2771,361,679,678,30767,9845,NA,2924702,511.756,9152,17.88,97.3,0.575,"-",50665068.87,43844273.2,7744.84,"BA"
305,"Piritiba",42508,14,997,1532,172,555,1238,27439,4665,22,2924801,980.328,17566,17.92,97.9,0.578,"11.63",81507793.05,80123922.9,7467.76,"BA"
306,"Planaltino",21835,NA,296,215,37,107,862,13979,5819,NA,2924900,955.454,8022,8.4,96.6,0.572,"-",44407893.16,41943103.18,8412.61,"BA"
307,"Planalto",36879,80,1288,1569,254,453,2153,18386,5115,NA,2925006,769,23334,30.34,97.1,0.56,"10.45",97066456.82,90993782.82,11658.15,"BA"
308,"Poções",32830,18,2414,1437,418,4206,6739,23576,8735,4618,2925105,937.855,48293,51.49,96.5,0.604,"10.68",175787225.37,170315430.2,12232.18,"BA"
309,"Pojuca",11997,47,456,398,45,90,992,9693,2085,950,2925204,314.932,32136,102.04,96.7,0.666,"16.04",278825144.4,274379092.9,45629.19,"BA"
310,"Ponto Novo",11780,NA,946,516,91,1971,3902,24832,9188,NA,2925253,530.144,17938,33.84,98.1,0.58,"19.61",101461532.04,96559330.4,9683.61,"BA"
311,"Porto Seguro",1549599,6953,35242,37093,6360,4525,19716,2054950,1104926,NA,2925303,2285.734,168326,73.64,96.9,0.676,"13.33",866773784.94,770120658.8,24702.76,"BA"
312,"Potiraguá",77579,94,2415,266,85,66,1244,6958,2812,NA,2925402,1111.567,10274,9.24,97.6,0.625,"9.8",44262736.13,44600826.94,17359.62,"BA"
313,"Prado",80899,58,1392,1446,249,64,504,425625,4855,NA,2925501,1692.1,35003,20.69,96.5,0.621,"13.08",169880060.21,170367021.4,22139.06,"BA"
314,"Presidente Dutra",2992,NA,91,1182,202,1402,10100,8745,3060,NA,2925600,232.064,15130,65.2,96,0.614,"12.5",69454041.7,65572327.32,8707.33,"BA"
