"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
130,"São João do Sabugi",10900,NA,1000,5400,1026,4390,6800,32000,27000,NA,2412104,277.011,5956,21.5,96.9,0.655,"-",33277846.15,31459831.88,13596.91,"RN"
131,"São José de Mipibu",12000,30,1924,10600,2120,2512,2700,351200,215398,22740,2412203,289.987,47286,163.06,96.3,0.611,"9.63",211866046.63,195258109.1,23357.8,"RN"
132,"São José do Campestre",10500,NA,810,3200,700,3700,7200,14600,3400,NA,2412302,341.115,11121,32.6,96.9,0.615,"15.38",64290686.83,60149051,9696.34,"RN"
133,"São José do Seridó",6812,NA,120,1120,144,840,1360,9600,2750,NA,2412401,174.505,4558,26.12,97.1,0.694,"25",35395449.59,31078712.74,17856.69,"RN"
134,"São Miguel",5200,NA,465,14300,2160,4500,700,58000,21000,1900,2412500,166.233,23537,141.59,96.6,0.606,"12.94",111836348.07,96583508.2,13440.83,"RN"
135,"São Miguel do Gostoso",4418,NA,264,593,150,255,1600,4295,3465,NA,2412559,431.444,10221,23.69,98.7,0.591,"13.99",84125452.13,76074591.96,47183.26,"RN"
136,"São Paulo do Potengi",10373,NA,1200,3010,2000,1637,3054,26400,20000,NA,2412609,240.425,16786,69.82,97.9,0.622,"27.4",84865476.93,78787578.33,12966.47,"RN"
137,"São Pedro",8150,NA,143,3363,662,1637,3054,15490,9294,NA,2412708,195.237,5776,29.58,97.7,0.589,"18.87",32255673.09,28227285.49,9475.4,"RN"
138,"São Rafael",12212,NA,765,3510,692,4440,8300,21450,3338,NA,2412807,469.101,7711,16.44,98.2,0.611,"32.61",35590641.22,32207485.83,10836.58,"RN"
139,"São Tomé",3420,NA,610,740,135,6720,5700,7250,6335,NA,2412906,862.585,9972,11.56,97.2,0.585,"9.9",62581989.64,63346643.52,10114.52,"RN"
140,"São Vicente",5990,NA,315,1325,333,585,1080,12550,5415,NA,2413003,197.817,6310,31.9,92.5,0.642,"17.24",40715575.64,37065691.57,11877.99,"RN"
141,"Senador Elói de Souza",5457,NA,500,2861,430,1029,2273,14650,11000,NA,2413102,152.376,5965,39.15,97.7,0.583,"15.87",31168273.31,30562002.49,9806.43,"RN"
142,"Senador Georgino Avelino",800,NA,70,250,100,100,450,4200,2600,NA,2413201,26.1,4065,155.75,97.1,0.57,"15.87",32362202.04,30714525.63,25731.61,"RN"
143,"Serra Caiada",3300,NA,920,1100,460,800,3000,7000,1500,NA,2410306,217.539,10125,46.54,95.4,0.563,"7.58",64203539.37,60558943.08,10267.49,"RN"
144,"Serra de São Bento",3500,NA,260,1400,600,600,1500,9000,5500,NA,2413300,96.628,5703,59.02,97.5,0.582,"12.82",28987780.38,25158393.83,10003.6,"RN"
145,"Serra do Mel",2000,NA,250,1800,800,500,5500,6500,4500,NA,2413359,620.241,13091,21.11,97.8,0.614,"30.77",120765612.67,112120128.3,70243.25,"RN"
146,"Serra Negra do Norte",20000,NA,300,3500,700,4000,3500,54360,21744,NA,2413409,562.396,7597,13.51,95.5,0.597,"-",47983649.59,42416513.67,14666.95,"RN"
147,"Serrinha",9800,35,580,1400,360,1400,2450,14000,5700,NA,2413508,193.351,6436,33.29,99,0.592,"-",36975262.74,32529548.14,11732.81,"RN"
148,"Serrinha dos Pintos",2900,NA,90,500,190,900,600,8500,4500,NA,2413557,122.375,4659,38.07,96.1,0.598,"-",31329088.16,28067059.97,10303.67,"RN"
149,"Severiano Melo",4000,NA,350,3300,1100,3000,2500,18000,5000,NA,2413607,157.85,5487,34.76,97.1,0.604,"33.33",33960305.74,31953078.58,36201.68,"RN"
