"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
79,"Nova Mutum",125887,10,2122,295266,26865,254,8879,8657951,600170,96,5106224,9536.814,55839,5.86,97.2,0.758,"12.39",532317134.52,508455793.2,125187.35,"MT"
80,"Nova Nazaré",91761,25,835,1019,120,12,730,9000,4500,100,5106174,4034.539,4200,1.04,66.3,0.595,"63.06",47984072.25,42533713.93,35035.46,"MT"
81,"Nova Olímpia",93058,NA,1304,1341,315,165,1062,28986,14418,154,5106232,1327.266,16352,12.32,95.7,0.682,"13.57",104517965.88,102191720.7,35164.43,"MT"
82,"Nova Santa Helena",109575,11,1477,1632,497,152,1252,10640,8600,NA,5106190,2385.611,4239,1.78,97.9,0.714,"-",52369198.12,50683385.48,88750.48,"MT"
83,"Nova Ubiratã",115310,31,1445,51057,2879,447,4961,204944,31052,68,5106240,12460.736,11530,0.93,96.6,0.669,"17.24",151150888.7,136478127.4,261783.61,"MT"
84,"Nova Xavantina",387450,21,4592,6846,602,118,2734,43003,19900,140,5106257,5491.972,24345,4.43,97.6,0.704,"9.15",144332365.73,137917398.5,47627.46,"MT"
85,"Novo Horizonte do Norte",109996,46,2386,5147,942,69,2146,46591,20214,NA,5106273,920.048,3349,3.64,98.3,0.664,"21.28",39113389.27,38074710.89,24944.48,"MT"
86,"Novo Mundo",357822,73,4512,2934,345,312,2562,28211,11816,11,5106265,5800.759,6520,1.12,99.2,0.674,"16.95",73004993.37,62375664.71,50945.76,"MT"
87,"Novo Santo Antônio",85938,21,1846,2381,203,221,744,11963,6814,NA,5106315,4394.78,2015,0.46,96.9,0.653,"-",42291069.33,38020076.37,20458.85,"MT"
88,"Novo São Joaquim",270445,23,2809,4606,824,231,1262,27672,18448,NA,5106281,5225.595,6919,1.32,93.9,0.649,"17.86",74302376.88,75198875.67,178424.27,"MT"
89,"Paranaíta",494069,445,4628,1989,110,166,2293,27998,14178,NA,5106299,4814.149,11671,2.42,97.4,0.672,"11.17",130921622.21,122028695.8,70518.15,"MT"
90,"Paranatinga",852535,1465,11652,12658,2216,929,13599,150981,72256,70,5106307,24166.632,26423,1.09,94.9,0.667,"28.44",198325604.26,161439185.4,91867.26,"MT"
91,"Pedra Preta",370140,80,4544,31446,3010,113,2922,14363,6460,121,5106372,3841.672,18066,4.7,98.2,0.679,"26.55",133199232,127034142,89805.8,"MT"
92,"Peixoto de Azevedo",386284,124,3858,6900,880,252,2424,28450,17200,48,5106422,14433.775,32714,2.27,90.6,0.649,"25.04",229027887.46,215786036.1,25734.2,"MT"
93,"Planalto da Serra",92728,60,1272,1311,245,74,850,15710,7118,NA,5106455,2437.59,3166,1.3,98.5,0.656,"-",28818724.3,29106688.19,87939.09,"MT"
94,"Poconé",605000,687,12397,9258,920,368,2240,36280,6500,113,5106505,17156.759,31217,1.82,94.3,0.652,"12.4",175446635.74,157757843.5,21252.49,"MT"
95,"Pontal do Araguaia",117303,39,2388,2825,890,270,1815,23050,12458,58,5106653,2742.482,6932,2.53,97.7,0.734,"-",52360008.56,46415947.36,17674.65,"MT"
96,"Ponte Branca",30310,20,664,1966,391,4,366,7101,6190,NA,5106703,701.138,2008,2.86,98,0.686,"-",36571246.78,29013080.11,20481.87,"MT"
97,"Pontes e Lacerda",709538,185,8368,5931,1216,258,7987,44587,37186,43,5106752,8545.292,52018,6.09,96.8,0.703,"11.72",265777425.78,245517520.4,52840.74,"MT"
98,"Porto Alegre do Norte",137285,109,2537,5088,147,195,1397,21854,16800,38,5106778,3971.721,12127,3.05,97.4,0.673,"25.51",86502948.24,71730315.43,44260.34,"MT"
