"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
312,"Rio Negro",19178,43,5767,12149,1048,899,8630,3304000,202500,1220,4122305,604.138,31324,51.85,98.2,0.76,"3.04",185387981.66,163903638.6,37477.75,"PR"
313,"Rolândia",4593,NA,338,3630,272,58,1220,3230000,46809,NA,4122404,459.024,71670,156.14,97.5,0.739,"15.92",395729397.94,367555543.5,52447.59,"PR"
314,"Roncador",39103,NA,729,10400,880,1400,1120,1410000,276479,NA,4122503,742.121,11251,15.16,98.7,0.681,"12.58",90186886.89,71823019.91,63312.92,"PR"
315,"Rondon",31328,3,558,616,105,38,539,2500000,110000,NA,4122602,555.125,9097,16.39,97,0.713,"15.27",57135794.89,52282348.74,36225.59,"PR"
316,"Rosário do Ivaí",50742,42,1137,625,125,72,1284,99687,9100,NA,4122651,377.47,5435,14.4,96.8,0.662,"17.24",36374232.14,28212417.54,28266.01,"PR"
317,"Sabáudia",6214,NA,364,2820,310,142,665,2540200,86809,NA,4122701,190.329,8822,46.35,98.6,0.74,"8.93",64643008.42,61394401.73,101429.37,"PR"
318,"Salgado Filho",21514,30,278,37750,4770,90,796,739000,119000,300,4122800,181.015,4075,22.51,98.3,0.7,"18.87",41170217.85,31764439.24,36692.89,"PR"
319,"Salto do Itararé",18249,33,351,860,95,38,177,188200,2650,NA,4122909,200.52,5192,25.89,98.5,0.704,"-",36320940.24,30100277.14,21322.09,"PR"
320,"Salto do Lontra",24355,31,178,10070,2778,63,540,5268894,421806,550,4123006,312.717,15223,48.68,96.5,0.718,"5.85",90846166.74,85979821.29,35429.43,"PR"
321,"Santa Amélia",1536,1,74,241,NA,1,49,155030,5000,NA,4123105,78.045,3394,43.49,96.9,0.653,"25.64",20253118.96,20399006.73,31442.18,"PR"
322,"Santa Cecília do Pavão",3621,NA,124,234,98,13,106,139760,160,40,4123204,105.076,3365,32.02,97.7,0.723,"-",30329418.43,27121309.48,47193.99,"PR"
