"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
162,"Pio IX",29809,NA,1569,13262,3139,27986,79065,155645,42736,NA,2208205,1948.142,17613,9.04,98.8,0.564,"23.04",74130688.24,72211116.28,10957.54,"PI"
163,"Piracuruca",15783,NA,544,17944,3620,25274,8517,172526,33373,NA,2208304,2368.935,28846,12.18,94.8,0.596,"15.75",108152368.33,99830093.34,12556.04,"PI"
164,"Piripiri",12961,82,607,28513,4314,27870,7921,97718,24441,NA,2208403,1407.192,65538,46.57,97.3,0.635,"14.32",269406875.01,257270876.8,14362.92,"PI"
165,"Porto",2913,NA,232,4896,1175,2764,506,16765,4595,NA,2208502,253.113,12052,47.62,98,0.549,"11.83",65613948.73,63021841.12,9374.27,"PI"
166,"Porto Alegre do Piauí",6011,NA,234,1024,165,2422,1191,8480,1518,NA,2208551,1168.044,2364,2.02,98.9,0.563,"83.33",28899507.73,26331397.94,14373.9,"PI"
167,"Prata do Piauí",1241,NA,44,893,144,3985,3107,4292,897,NA,2208601,196.787,3042,15.46,98.5,0.565,"-",24807496.75,22154406.6,8759.54,"PI"
168,"Queimada Nova",5374,NA,422,4132,826,43986,38556,14855,3708,NA,2208650,1283.369,8738,6.81,99.3,0.515,"10.1",47265539.36,38403496.13,28037.27,"PI"
169,"Redenção do Gurguéia",11767,NA,265,1422,211,1482,1336,21628,7552,NA,2208700,2470.531,8394,3.4,97.9,0.589,"15.27",52809362.21,46880151.32,11110.79,"PI"
170,"Regeneração",5057,NA,124,3851,605,7579,2663,41922,10457,NA,2208809,1251.321,17133,13.69,97.4,0.591,"-",86569629.06,82554801.14,14712.38,"PI"
171,"Riacho Frio",15271,NA,605,1078,162,788,1892,18252,4563,NA,2208858,2220.598,4165,1.88,98.9,0.541,"-",40252431.95,36440396.82,10747.61,"PI"
172,"Ribeira do Piauí",6420,NA,217,2821,452,9910,11096,7635,2009,NA,2208874,1012.479,4055,4.01,98.4,0.52,"-",39206637.7,33382872.13,48319.61,"PI"
173,"Ribeiro Gonçalves",9053,NA,126,638,78,235,587,85295,20077,NA,2208908,3987.147,6164,1.55,96.8,0.601,"21.51",74851881.86,61021471.01,93932.89,"PI"
174,"Rio Grande do Piauí",5487,NA,377,5843,872,5423,4903,22698,7902,NA,2209005,635.953,5801,9.12,96.5,0.572,"60.61",33911667.61,32531359.66,9557.12,"PI"
175,"Santa Cruz do Piauí",5483,NA,166,2756,413,2595,6198,14893,2980,NA,2209104,582.658,5831,10.01,96.8,0.601,"35.09",35086727.2,32961585.15,9755.44,"PI"
176,"Santa Cruz dos Milagres",4450,NA,238,1014,152,7918,3993,9288,2329,NA,2209153,978.547,3435,3.51,98.6,0.577,"-",23622598.31,21682091.88,11238.76,"PI"
177,"Santa Filomena",14118,NA,250,1942,290,2508,1196,23334,4916,NA,2209203,5293.693,6087,1.15,97.6,0.544,"-",54160962.58,50564309.73,98463.36,"PI"
178,"Santa Luz",13507,NA,264,425,64,1506,1979,15651,5482,NA,2209302,1185.398,5336,4.5,99.5,0.588,"29.85",31011532.25,30578823.91,10584.41,"PI"
179,"Santa Rosa do Piauí",5462,NA,198,1517,273,2206,5299,10519,2769,NA,2209377,338.336,4650,13.74,99,0.567,"18.18",31656344.42,28313488.42,9559.86,"PI"
180,"Santana do Piauí",909,NA,45,579,139,107,203,9337,2428,NA,2209351,112.189,4125,36.77,96.1,0.574,"31.25",29409190,26263653.36,8775.63,"PI"
