"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
63,"Santa Rosa de Lima",6326,18,420,350,4,35,950,48500,3600,NA,2806503,67.672,3937,58.18,98.7,0.592,"18.87",33946695.68,28982398.5,14005.48,"SE"
64,"Santana do São Francisco",1161,NA,178,121,11,196,705,518,158,NA,2806404,44.017,7346,166.89,99.6,0.59,"9.52",62280472.37,56845439,13505.26,"SE"
65,"Santo Amaro das Brotas",5969,NA,600,900,30,32,740,36000,4600,NA,2806602,236.965,11092,46.81,97.6,0.637,"7.94",63809460.36,58574842.96,13743.05,"SE"
66,"São Cristóvão",11686,10,2380,5200,320,1060,5200,1205905,666020,NA,2806701,438.037,95612,218.27,97.7,0.662,"16.3",304916496.62,319234782.6,11203.61,"SE"
67,"São Domingos",4418,NA,150,1280,40,50,520,15000,3100,NA,2806800,101.999,10327,101.25,97,0.588,"21.74",50376351.51,49935368.97,11992.45,"SE"
68,"São Francisco",6718,NA,362,91,16,27,225,1396,595,NA,2806909,83.985,3243,38.61,98.1,0.587,"-",32970632.19,29807880.47,14603.48,"SE"
69,"São Miguel do Aleixo",11686,NA,280,500,27,105,650,5720,2300,NA,2807006,144.868,3434,23.7,98.1,0.567,"60.61",32569938.68,30090775.13,12573.79,"SE"
70,"Simão Dias",43940,5,1100,950,55,550,5450,2e+05,20000,NA,2807105,560.199,42578,76.01,98.8,0.604,"13.36",150437806.68,140809624.8,19408.9,"SE"
71,"Siriri",9000,NA,730,390,30,90,730,87840,950,NA,2807204,168.343,7834,46.54,98.9,0.609,"26.55",51083072.37,50038030.34,19537.43,"SE"
72,"Telha",4298,NA,328,198,33,33,350,1670,272,NA,2807303,47.86,3274,68.41,99.5,0.604,"-",31101534.66,27848100.89,13488.67,"SE"
73,"Tobias Barreto",132103,31,5580,4251,346,2700,36450,250050,39500,NA,2807402,1024.645,50905,49.68,94.3,0.557,"9.51",183633408.69,169680363,12405.95,"SE"
74,"Tomar do Geru",26432,13,1102,2298,92,215,4390,22050,8960,NA,2807501,304.837,12012,39.4,97.6,0.551,"14.08",57665798.56,59313120.66,10858.98,"SE"
75,"Umbaúba",7042,NA,442,1050,115,5,312,118100,6800,NA,2807600,117.514,23917,203.52,98.2,0.579,"13.59",103918606.98,100521732.8,15564.7,"SE"
