"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
61,"Olho d'Água das Flores",12000,NA,510,2000,210,360,2700,26000,7500,250,2705705,188.221,20695,109.95,94.7,0.565,"12.46",127419043.62,110135703.2,12529.97,"AL"
62,"Olho d'Água do Casado",7930,NA,500,250,50,500,5359,22600,8140,NA,2705804,327.678,8349,25.48,96.1,0.525,"7.35",59086376.61,63778672.53,9775.21,"AL"
63,"Olho d'Água Grande",13000,NA,200,290,25,50,1100,10000,2000,NA,2705903,117.006,4330,37.01,97.9,0.503,"-",25944828.12,22781515.97,13556.59,"AL"
64,"Olivença",18000,NA,600,3000,250,400,4100,20000,5000,NA,2706000,175.288,10812,61.68,95.8,0.493,"11.11",90088568.73,73012778.04,9317.95,"AL"
65,"Ouro Branco",9000,NA,1020,910,100,2050,7800,21000,8200,NA,2706109,196.56,11446,58.23,95.6,0.547,"24.69",77019104.35,85122614.6,9543.68,"AL"
66,"Palestina",1750,NA,150,610,65,20,100,3010,610,NA,2706208,38.189,4325,113.25,98.6,0.558,"-",37399537.65,41278431.66,9071.45,"AL"
67,"Palmeira dos Índios",199434,12,8544,21769,2260,4142,39908,366000,111040,24651,2706307,450.99,71574,158.7,95.1,0.638,"12.98",340560669.76,409543976.5,16085.04,"AL"
68,"Pão de Açúcar",23000,NA,900,1500,60,1450,7700,40500,7600,700,2706406,688.87,23823,34.58,96.3,0.593,"17.34",154795823.82,162030460,10967.88,"AL"
69,"Pariconha",5039,NA,1045,251,34,2148,9876,41000,18800,NA,2706422,254.719,10573,41.51,97.8,0.548,"30.12",63208010.88,66336953.23,13747.59,"AL"
70,"Paripueira",500,2,235,350,14,36,512,1725,650,NA,2706448,92.788,13835,149.1,96.2,0.605,"24.63",75111078.62,78567402.01,17561.86,"AL"
71,"Passo de Camaragibe",7000,NA,550,300,20,50,300,8000,3000,200,2706505,251.29,13804,54.93,97.3,0.533,"32.26",94370699.22,97079069.25,22090.3,"AL"
72,"Paulo Jacinto",12500,NA,1000,1100,101,10,900,10100,2020,NA,2706604,118.457,6576,55.51,97.7,0.589,"10.87",49544303.49,50490602.41,14540.74,"AL"
