"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
161,"Santa Filomena do Maranhão",27540,6,572,2365,485,720,988,31765,10965,NA,2109759,623.213,6697,10.75,99,0.525,"-",38537056.87,34700624.03,7643.59,"MA"
162,"Santa Helena",15074,85,739,8686,1274,727,598,19500,7178,NA,2109809,2191.168,41561,18.97,92.6,0.571,"4.46",176766548.3,184957110.5,8359.57,"MA"
163,"Santa Inês",66314,NA,1557,2600,652,412,1827,693772,7015,NA,2109908,786.689,85014,108.07,97.1,0.674,"11.17",320680570.76,349350990.4,16303.11,"MA"
164,"Santa Luzia",349056,121,8034,2112,612,3025,9121,30125,11236,NA,2110005,4837.169,57635,11.92,95,0.55,"17.78",274428034.37,272541055.5,10171.02,"MA"
165,"Santa Luzia do Paruá",63721,222,3210,5225,1133,1147,2235,31255,8739,NA,2110039,1010.483,24307,24.05,97.2,0.599,"14.25",111378766.17,104021962.1,9940.98,"MA"
166,"Santa Quitéria do Maranhão",5880,NA,289,2906,671,3980,955,27676,10018,NA,2110104,1430.33,23957,16.75,95.6,0.555,"6.67",199934512.83,186508943.8,8441.37,"MA"
167,"Santa Rita",20682,1565,924,4980,485,1405,915,102865,20598,NA,2110203,756.797,37035,48.94,97.5,0.609,"20.95",154168300.59,142449509.5,9157.47,"MA"
168,"Santana do Maranhão",2439,NA,283,7790,2570,1170,128,31684,7820,NA,2110237,932.03,10567,11.34,95.8,0.51,"-",60113406.82,53284818.8,5407.66,"MA"
169,"Santo Amaro do Maranhão",1356,32,115,1995,240,2590,880,7465,1110,NA,2110278,1582.806,13949,8.81,94.1,0.518,"18.4",72571271.54,63771541.16,5916.27,"MA"
170,"Santo Antônio dos Lopes",26529,NA,204,270,50,2019,1721,135,50,NA,2110302,770.923,14304,18.55,98.2,0.566,"9.26",162568487.99,169821354.4,210498.16,"MA"
171,"São Benedito do Rio Preto",1250,NA,105,2150,880,1070,85,12150,3080,NA,2110401,931.485,18364,19.71,95.7,0.541,"8.31",104651300.06,105049656.3,7644.43,"MA"
172,"São Bento",5539,2079,510,19432,5873,1033,610,56089,18363,NA,2110500,456.997,46395,101.52,95.7,0.602,"9.76",151812127.13,158618247.7,6789.21,"MA"
173,"São Bernardo",12262,NA,582,4850,1900,4430,2119,32694,10771,NA,2110609,1005.824,26943,26.79,94.9,0.572,"22.54",187151009.41,205806122.9,9756.48,"MA"
174,"São Domingos do Azeitão",9968,NA,189,384,70,930,1488,10742,2476,NA,2110658,961.249,7992,8.31,96.9,0.59,"31.75",46372662.51,41209828.92,43036.91,"MA"
175,"São Domingos do Maranhão",89712,41,637,3585,1402,1126,2714,36795,12556,NA,2110708,1151.978,34034,29.54,97.8,0.582,"7.97",150914879.37,150593897.1,10350.64,"MA"
176,"São Félix de Balsas",19837,NA,586,1130,209,2156,2720,24315,8702,NA,2110807,2032.599,4402,2.17,95.9,0.557,"27.03",32030895.25,29280428.35,18980.02,"MA"
177,"São Francisco do Brejão",76864,84,2376,6217,1027,89,2748,35743,11745,NA,2110856,745.357,9051,12.14,96.1,0.584,"23.53",55346375.55,51943289.87,10037.61,"MA"
178,"São Francisco do Maranhão",21628,NA,692,7842,330,18951,7975,47855,19054,NA,2110906,2284.217,12064,5.28,94.8,0.528,"7.35",66550248.06,64047792.82,8097.27,"MA"
179,"São João Batista",9860,7920,1140,10200,745,2460,3350,51200,10200,NA,2111003,649.956,18544,28.53,96.9,0.598,"20.75",76775523.83,75756529.34,6540.54,"MA"
180,"São João do Carú",43408,167,830,1738,300,207,647,6681,1426,NA,2111029,910.065,12251,13.46,97,0.509,"9.76",70982687.32,67173892.22,7803.06,"MA"
181,"São João do Paraíso",178779,11,3467,8530,2132,471,4006,86311,12709,NA,2111052,2052.328,9904,4.83,98,0.609,"6.58",60751581.59,58898594.38,13516.41,"MA"
182,"São João do Soter",16990,NA,335,1530,175,1570,590,13100,1180,NA,2111078,1438.067,16889,11.74,97.3,0.517,"8.73",86895955.34,105123504.6,8343.29,"MA"
183,"São João dos Patos",44198,NA,758,2266,132,2112,1532,563697,39831,NA,2111102,1483.255,25020,16.87,97.8,0.615,"9.2",112284129.92,110950575.5,13084.13,"MA"
184,"São José de Ribamar",1670,23,577,2431,283,2454,3458,600055,1085,NA,2111201,180.363,244579,1356.04,97.1,0.708,"17.36",825613346.16,829126224.8,12719.88,"MA"
185,"São José dos Basílios",17611,NA,447,6372,1742,1792,2625,32608,10984,NA,2111250,353.72,6957,19.67,97.7,0.557,"12.2",40707096.36,41077415.21,8110.03,"MA"
186,"São Luís",1639,115,154,9584,988,623,855,32323,2944,861,2111300,583.063,1037775,1779.87,96.8,0.768,"17.53",5515241951.1,4658304103,32739.65,"MA"
187,"São Luís Gonzaga do Maranhão",94654,NA,1068,1200,185,1166,1887,31605,15120,NA,2111409,909.164,17818,19.6,94.4,0.54,"30",100952028.21,96366654.73,9144.38,"MA"
188,"São Mateus do Maranhão",38250,4309,988,1420,250,1464,1598,21980,5320,NA,2111508,800.045,38829,48.53,95.3,0.616,"9.49",166185462.89,158432699.9,10282.41,"MA"
189,"São Pedro da Água Branca",24925,41,712,405,106,24,297,4854,1711,NA,2111532,720.461,14338,19.9,96.3,0.605,"46.15",66907008.83,63006603.67,9987.76,"MA"
190,"São Pedro dos Crentes",75451,NA,1417,2921,760,270,2030,24450,8026,NA,2111573,979.915,5783,5.9,97,0.6,"12.05",33845825.33,30544471.18,17777.02,"MA"
191,"São Raimundo das Mangabeiras",51203,192,1536,3150,610,1220,2376,38640,14780,NA,2111607,3524.501,18672,5.3,98.2,0.61,"6.45",94097289.32,88091211.09,38745.98,"MA"
192,"São Raimundo do Doca Bezerra",27269,NA,1544,2198,370,88,1605,28300,4360,NA,2111631,419.55,5650,13.47,97.8,0.516,"10.31",34150879.71,35747991.98,8744.58,"MA"
193,"São Roberto",21492,NA,142,1522,200,74,205,1150,500,NA,2111672,226.811,4544,20.03,96.4,0.516,"64.52",38342845.66,40309632.8,6677.17,"MA"
194,"São Vicente Ferrer",7948,372,645,6250,510,2150,1280,37800,7210,NA,2111706,393.928,19498,49.5,97.3,0.592,"28.44",81308868.39,79533656.18,6493.02,"MA"
195,"Satubinha",31344,9,689,835,246,201,598,9278,3474,NA,2111722,441.811,8784,19.88,88.4,0.493,"-",66608980.98,67179540.63,6522.36,"MA"
196,"Senador Alexandre Costa",15730,NA,294,1750,495,856,692,36755,7045,NA,2111748,426.437,10207,23.94,95.3,0.538,"22.86",53364292.52,51893389.12,9025.36,"MA"
197,"Senador La Rocque",120857,7,2860,4730,1088,821,4440,36674,9113,NA,2111763,738.187,14700,19.91,98.8,0.602,"-",73301479.69,77417933.37,13387.31,"MA"
198,"Serrano do Maranhão",6065,410,109,2794,538,320,178,13087,2895,NA,2111789,1165.318,10202,8.75,95.6,0.519,"22.56",86646561.22,84550677.43,7006.1,"MA"
199,"Sítio Novo",183401,60,4190,4504,890,902,5902,72091,23701,NA,2111805,3114.683,17074,5.48,95.1,0.564,"18.8",85480245.91,95784323.33,12147.76,"MA"
200,"Sucupira do Norte",20360,NA,139,921,83,755,483,40986,19025,NA,2111904,1074.435,10238,9.53,97,0.579,"11.7",52313995.54,50020872.91,11874.38,"MA"
201,"Sucupira do Riachão",12045,NA,271,952,68,748,278,16744,8161,NA,2111953,862.226,4985,5.78,96.5,0.568,"33.33",30258461.12,29252941.82,8434.63,"MA"
202,"Tasso Fragoso",30476,NA,557,868,144,141,780,42352,12560,NA,2112001,4369.159,8862,2.03,96.8,0.599,"21.13",75363846.06,61158532.21,272095.76,"MA"
203,"Timbiras",21260,NA,380,2540,630,1570,810,25400,3630,NA,2112100,1486.584,26484,17.82,92.4,0.537,"10.87",111700111.33,118940080.4,6716.09,"MA"
204,"Timon",21530,52,1116,18092,1820,5459,3941,159408,18408,NA,2112209,1763.22,174465,98.95,96.9,0.649,"14.74",623545728.38,647019586.9,13547.65,"MA"
205,"Trizidela do Vale",14719,NA,1064,320,85,1404,1267,3996,2150,NA,2112233,291.61,22484,77.1,96.6,0.606,"12.23",122158063.54,125239547.3,23648.98,"MA"
206,"Tufilândia",17156,NA,194,586,153,391,238,4185,949,NA,2112274,270.934,5507,20.33,99.4,0.555,"-",39263613.79,41564839.65,10236.97,"MA"
207,"Tuntum",185172,29,845,3165,875,2012,3155,61315,14756,NA,2112308,3369.121,36251,10.76,96.2,0.572,"16.88",178150475.3,169072509.3,8646.78,"MA"
208,"Turiaçu",11013,570,438,939,351,760,700,50401,20397,NA,2112407,2622.281,37491,14.3,96.7,0.561,"16.27",164385150.77,164542868.6,8264.7,"MA"
209,"Turilândia",30262,318,700,1193,301,830,450,38215,14453,NA,2112456,1507.622,31638,20.99,93.9,0.536,"12.7",130492092.32,131125937.2,8544.48,"MA"
210,"Tutóia",3204,NA,992,9983,3550,2191,2800,46110,12568,NA,2112506,1566.08,53356,34.07,96.6,0.561,"10.24",234966123.57,227366722.3,9115.54,"MA"
211,"Urbano Santos",1275,NA,138,2380,610,1180,145,18500,3600,NA,2112605,1707.621,32812,19.22,95.7,0.588,"13.31",143441670.97,144671334.8,7325.64,"MA"
212,"Vargem Grande",18470,57,1328,39189,4250,14693,4674,83794,14071,NA,2112704,1958.702,43261,22.09,88.9,0.542,"8.32",229018325.59,241262313.9,7499.62,"MA"
213,"Viana",17628,19052,2170,7250,410,1950,1520,69500,12520,NA,2112803,1166.745,51442,44.09,97.5,0.618,"12.5",201354961.15,229453399.7,9280.44,"MA"
214,"Vila Nova dos Martírios",84512,102,2741,3647,914,448,2034,14706,5078,NA,2112852,1190.008,10362,8.71,93,0.581,"13.07",79309965.56,76240545.01,11372.37,"MA"
215,"Vitória do Mearim",23213,4093,810,2410,260,1420,435,30450,6200,NA,2112902,716.719,30805,42.98,98.3,0.596,"4.69",134085689.52,132696950.9,9656.01,"MA"
216,"Vitorino Freire",101782,NA,2286,2965,456,1067,1869,33726,7572,NA,2113009,1193.385,30845,25.85,97.3,0.57,"11.16",148611749.68,150150251.7,10328.9,"MA"
217,"Zé Doca",169510,1009,4345,800,305,2437,2658,25362,5515,NA,2114007,2140.109,40801,19.06,95.3,0.595,"14.42",282679572.34,273548336.3,10867.33,"MA"
